code,name_en,name_hi,result_type,unit,decimals,loinc_code,absurd_low,absurd_high,critical_low,critical_high
PRL,Prolactin,,numeric,ng/mL,1,,0,10000,,
LH,Luteinising hormone,,numeric,mIU/mL,1,,0,1000,,
FSH,Follicle-stimulating hormone,,numeric,mIU/mL,1,,0,1000,,
E2,Oestradiol,,numeric,pg/mL,1,,0,20000,,
TESTO,"Testosterone, total",,numeric,ng/dL,0,,0,5000,,
CORT_AM,"Cortisol, morning",,numeric,ug/dL,1,,0,200,,
INS_F,"Insulin, fasting",,numeric,uIU/mL,1,,0,2000,,
AMH,Anti-Mullerian hormone,,numeric,ng/mL,2,,0,100,,
CA125,CA-125,,numeric,U/mL,1,,0,100000,,
CEA,Carcinoembryonic antigen,,numeric,ng/mL,1,,0,100000,,
AFP,Alpha-fetoprotein,,numeric,ng/mL,1,,0,1000000,,
CA199,CA 19-9,,numeric,U/mL,1,,0,100000,,
PTH,"Parathyroid hormone, intact",,numeric,pg/mL,1,,0,5000,,
IGE,"IgE, total",,numeric,IU/mL,0,,0,50000,,
HSCRP,"C-reactive protein, high sensitivity",,numeric,mg/L,2,,0,500,,
HCY,Homocysteine,,numeric,umol/L,1,,0,500,,
NTBNP,NT-proBNP,,numeric,pg/mL,0,,0,100000,,
G6PD,G6PD activity,,numeric,U/g Hb,2,,0,100,,
HBA2,Haemoglobin A2,,numeric,%,1,,0,100,,
HBF,Haemoglobin F,,numeric,%,1,,0,100,,
HBELEC_INT,Haemoglobin HPLC interpretation,,text,,,,,,,
DCT,Direct Coombs test,,text,,,,,,,
ICT,Indirect Coombs test,,text,,,,,,,
BT,Bleeding time,,numeric,min,1,,0,60,,
CT,Clotting time,,numeric,min,1,,0,60,,
GTT_0,"Glucose, fasting (GTT)",,numeric,mg/dL,0,,5,2000,40,450
GTT_60,"Glucose, 1 hour (GTT)",,numeric,mg/dL,0,,5,2000,40,450
GTT_120,"Glucose, 2 hours (GTT)",,numeric,mg/dL,0,,5,2000,40,450
UVOL24,"Urine volume, 24 hours",,numeric,mL,0,,0,10000,,
UPROT24,"Urine protein, 24 hours",,numeric,mg/24h,0,,0,50000,,
CA_ION,"Calcium, ionised",,numeric,mmol/L,2,,0.1,5,0.78,1.58
HBEAG,Hepatitis B e antigen,,text,,,,,,,
ANTIHBS,Anti-HBs antibody,,numeric,mIU/mL,1,,0,10000,,
HAV_IGM,Hepatitis A IgM,,text,,,,,,,
HEV_IGM,Hepatitis E IgM,,text,,,,,,,
TYPHI_IGM,Salmonella typhi IgM,,text,,,,,,,
CHIK_IGM,Chikungunya IgM,,text,,,,,,,
SCRUB_IGM,Scrub typhus IgM,,text,,,,,,,
LEPTO_IGM,Leptospira IgM,,text,,,,,,,
ANA,Antinuclear antibody,,text,,,,,,,
CCP,Anti-CCP antibody,,numeric,U/mL,1,,0,5000,,
HPYL_AG,H. pylori stool antigen,,text,,,,,,,
