orderable_code,price_paise
AFP,90000
AMH,220000
AMMONIA,90000
AMYLASE,45000
ANA,90000
ANAEMIA,150000
ANC_PROF,180000
ANTIHBS,80000
APTT,40000
ARTHRITIS,260000
ASO,45000
ATPO,90000
B12,90000
BHCG,70000
BLDGRP,15000
BTCT,15000
CA125,110000
CA199,120000
CALCIUM,20000
CARDIAC,250000
CA_ION,45000
CBC,35000
CCP,140000
CEA,90000
CHIK,90000
CORT,65000
CREA,20000
CRP,45000
DCT,35000
DDIMER,140000
DENGUE,120000
DIABETIC,90000
E2,65000
ELECT,45000
ESR,10000
FERRITIN,70000
FERTILITY_F,380000
FEVER,110000
FEVER_ADV,420000
FIBRIN,70000
FOLATE,90000
FSH,45000
G6PD,60000
GLUF,8000
GLUPP,8000
GLUR,8000
GTT,35000
HAVM,90000
HBA1C,50000
HBEAG,65000
HBELEC,110000
HBSAG,35000
HCV,70000
HCY,120000
HEALTH_B,220000
HEALTH_C,350000
HEP_PANEL,390000
HEVM,95000
HIV,50000
HPYLORI,90000
HSCRP,60000
ICT,40000
IGE,90000
INSULIN_F,70000
IRON,70000
LACTATE,60000
LEPTO,95000
LFT,70000
LH,45000
LIPASE,60000
LIPID,60000
MALB,50000
MG,35000
MP,20000
NTPROBNP,250000
PCT,220000
PHOS,20000
PREOP,180000
PRL,55000
PSA,80000
PSMEAR,25000
PTH,150000
PTINR,35000
RAF,40000
RETIC,25000
RFT,60000
SCRUB,95000
SEMEN,40000
SEPSIS,280000
STOOL,15000
TESTO,70000
TFT,55000
TROPI,120000
TROPT,140000
TSH,35000
TYPHIDOT,50000
UPROT24,35000
UPT,15000
UREA,15000
URIC,20000
URINE,15000
VDRL,20000
VITD,160000
WIDAL,25000
